Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL6814-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6814-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6814-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL7000-Automne2024-A,0,Lundi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 2548,En classe,Ming Zeng
GEL7000-Automne2023-B,0,Lundi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 2548,En classe,N/A
GEL7000-Automne2022-C,0,Lundi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 2512,En classe,N/A
GEL7001-Hiver2024-A,0,Mardi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2544,En classe,N/A
GEL7001-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7001-Hiver2023-C,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,13h30,16h20,Adrien-Pouliot 2783,En classe,N/A
GEL7001-Hiver2023-C,0,Jeudi,Du 10 jan. 2023 au 21 avr. 2023,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7011-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2544,En classe,N/A
GEL7011-Hiver2024-A,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Laboratoire,N/A
GEL7011-Hiver2023-C,0,Lundi,Du 10 jan. 2023 au 21 avr. 2023,9h30,12h20,Adrien-Pouliot 2500,En classe,N/A
GEL7011-Hiver2023-C,0,N/A,Du 10 jan. 2023 au 21 avr. 2023,N/A,N/A,N/A,Laboratoire,N/A
GEL7012-Hiver2023-A,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,13h30,16h20,Adrien-Pouliot 2548,En classe,N/A
GEL7012-Hiver2022-B,0,Mardi,Du 10 jan. 2022 au 22 avr. 2022,13h30,16h20,Adrien-Pouliot 2510,En classe,N/A
GEL7013-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 2548,En classe,Jérôme Cros
GEL7013-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,Jérôme Cros
GEL7013-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 2548,En classe,N/A
GEL7013-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7013-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 2546,En classe,N/A
GEL7013-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL7014-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,Leslie Rusch
GEL7014-Automne2023-B,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,N/A
GEL7014-Automne2022-C,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,N/A
GEL7015-Hiver2023-A,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2512,En classe,N/A
GEL7015-Hiver2022-B,0,Mercredi,Du 10 jan. 2022 au 22 avr. 2022,8h30,11h20,Adrien-Pouliot 2510,En classe,N/A
